FilerEIN,TaxYear,GrantType,Recipients,CashGrant,NonCashAssistance,ValuationMethodUsedDesc,NonCashAssistanceDesc
954523231,2022,LA COUNTY HEALTH CARE LEADER ROUNDTABLES - PHASE 2,1,32421,,,
954523231,2022,LA COUNTY MANAGED CARE PLAN NEEDS ASSESSMENT SYNTHESIS,1,24167,,,
954523231,2022,LISTENING TO BLACK CALIFORNIANS COMMUNITY COMMUNICATIONS CAMPAIGN,1,69000,,,
954523231,2022,LISTENING TO BLACK CALIFORNIANS PHASE II: ISSUE BRIEFS,1,18000,,,
954523231,2022,MATERNITY CARE IN CALIFORNIA 2023 UPDATE,1,31500,,,
954523231,2022,MEDICAID AND HOMELESSNESS POLICY CONSULTANT,1,900,,,
954523231,2022,MEDI-CAL COVERAGE EXPANSION: DEVELOPING IMPACT RESEARCH,1,8550,,,
954523231,2022,MEDI-CAL EXPLAINED: FACT SHEETS,1,18000,,,
954523231,2022,MEDI-CAL PALLIATIVE CARE TARGETED HEALTH PLAN TECHNICAL ASSISTANCE,2,45719,,,
954523231,2022,OPINION PIECE FOR LISTENING TO BLACK CALIFORNIANS,1,30375,,,
954523231,2022,OUTREACH FOR THE DIGNITY IN PREGNANCY AND CHILDBIRTH COURSE BRIEF SUMMARY,1,34171,,,
954523231,2022,PALLIATIVE CARE IN PUBLIC HOSPITALS SUSTAINING THE GAINS,1,35289,,,
954523231,2022,PLANNING AND INITIAL DATA REVIEW: LISTENING TO BLACK CALIFORNIANS DATA ON OLDER ADULTS,1,14088,,,
954523231,2022,PLANNING PHASE: BUILDING CAPACITY OF SAFETY-NET PROVIDERS TO CARE FOR OLDER ADULTS,1,15500,,,
954523231,2022,PLANNING PROJECT: MEDI-CAL TRAINING PROGRAM FOR SACRAMENTO LEGISLATIVE STAFF AND ADVOCATES,1,24400,,,
954523231,2022,PROJECT MANAGEMENT DATA EXCHANGE PORTFOLIO,1,34600,,,
954523231,2022,PROJECT MANAGEMENT FOR CALIFORNIA HEALTH CARE ALMANAC,1,10230,,,
954523231,2022,PROJECT MANAGEMENT FOR LISTENING TO BLACK CALIFORNIANS PHASE II,1,24500,,,
954523231,2022,PROJECT MANAGEMENT SUPPORT,1,21200,,,
954523231,2022,PSYCHIATRIC MENTAL HEALTH NURSE PRACTITIONER VIDEO,1,23662,,,
954523231,2022,REMOTE PATIENT MONITORING PROJECT EXPLORATION AND DEVELOPMENT,1,7900,,,
954523231,2022,RESEARCH & TECHNICAL ASSISTANCE: FINAL PUBLIC CHARGE RULE PHASE 2,1,3975,,,
954523231,2022,SCOPING AND FRAMEWORK FOR AN EVALUATION OF CONTRACT-MODE IN-HOME SUPPORTIVE SERVICES,1,1875,,,
954523231,2022,STRATEGIC AND SUSTAINABILITY PLANNING SUPPORT FOR CALIFORNIANS FOR THE ADVANCEMENT OF MIDWIFERY (CAM),1,1700,,,
954523231,2022,"STRATEGY, PLANNING, AND PROJECT MANAGEMENT SUPPORT FOR PALLIATIVE CARE BODY OF WORK",1,7000,,,
954523231,2022,STREAMLINING REVENUE CYCLE MANAGEMENT FOR ESSENTIAL COMMUNITY PROVIDERS AND COMMUNITY SUPPORT PROVIDERS,1,88400,,,
954523231,2022,SUBJECT MATTER EXPERT STIPEND - CALIFORNIA MEDI-CAL PHMI EVALUATION DESIGN,3,7500,,,
954523231,2022,SUPPORT FOR CHCF SEPT 2021 PRM OFFSITE AND FIELD LEARNING ON LEARNING COLLABORATIVES,1,1819,,,
954523231,2022,SUPPORT FOR WPC COUNTIES NAVIGATING THE TRANSITION TO CALAIM,1,177306,,,
954523231,2022,"SUPPORTING A WRITER FOR A CHAPTER ON PHILANTHROPY IN THE BOOK ""PRACTICAL PLAYBOOK III: WORKING TOGETHER TO IMPROVE MATERNAL HEALTH""",1,6505,,,
954523231,2022,SUPPORTING INDEPENDENT LIVING IN THE COMMUNITY: INNOVATION LANDSCAPE,1,7750,,,
954523231,2022,TELEHEALTH EXPERIENCE INTERVIEWS PUBLICATION WRITING,1,16500,,,
954523231,2022,TELEHEALTH INITIATIVE PROJECT MANAGEMENT,1,2700,,,
954523231,2022,TELEHEALTH VIDEO SERIES,1,32862,,,
954523231,2022,THE WEALTH OF CA HOSPITALS AND HEALTH SYSTEMS: AN EXAMINATION OF AUDITED FINANCIAL STATEMENTS,2,26230,,,
954523231,2022,UNDERSTANDING AUDIENCE NEEDS FOR HEALTH CARE COST TRANSPARENCY DATA,1,46850,,,
954523231,2022,WEBINAR SUPPORT: EFFECTIVE MESSAGING ABOUT THE MEDI-CAL EXPANSION TO OLDER ADULTS,1,5472,,,
431634280,2023,EMERGENCY RELIEF,339,619093,,,
431292397,2023,SCHOLARSHIPS TO TECH STUDENTS,123,132753,,COST,
364724966,2023,SCHOLARSHIPS,47,114700,,,
364724966,2023,EMPLOYEE CRISIS ASSISTANCE,82,123905,,,
364724966,2023,PATIENT BILL ASSISTANCE,16,74400,,,
364724966,2023,PATIENT TRANSPORTATION ASSISTANCE,57,13741,,,
364724966,2023,MEDICINE FOR INDIVIDUALS,1770,,878778,COST,PRESCRIPTIONS FILLED FOR PATIENTS UNABLE TO AFFORD THE COST
364724966,2023,MEDICAL EQUIPMENT FOR INDIVIDUALS,3,,10850,COST,MEDICAL EQUIPMENT PURCHASED FOR PATIENTS UNABLE TO AFFORD THE COST
900656139,2023,SCHOLARSHIPS,418,9006803,,,
900656139,2023,TUITION REDUCTION - VARIOUS RECIPIENTS,0,1966942,,,
210650678,2023,FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANT PROGRAM,829,394941,0,,
210650678,2023,FEDERAL AMERICORPS EDUCATION AWARDS,3,4379,0,,
210650678,2023,FEDERAL STUDENT SUPPORT SERVICES PROGRAM,32,43262,0,,
210650678,2023,NJ EDUCATIONAL OPPORTUNITY FUND,164,650640,0,,
210650678,2023,NJ HESAA STUDENT TEACHER STIPEND,82,246000,0,,
210650678,2023,RESTRICTED AID USED FOR SCHOLARSHIPS,600,4000356,0,,
210650678,2023,"RIDER UNIVERSITY ATHLETIC, MERIT, AND NEED-BASED FINANCIAL AID",3110,66636549,0,,
370813229,2023,SCHOLARSHIPS,109,332732,0,N/A,N/A
954523231,2023,2023 SUPPORT FOR FUNDERS FOR MATERNAL MENTAL HEALTH,1,3000,,,
954523231,2023,2023-2025 CHCF HEALTH POLICY POLL: PRIMARY WRITER,1,57440,,,
954523231,2023,AB890: SAFETY NET EDUCATION AND INFORMATION GATHERING,1,14188,,,
954523231,2023,ADVANCING THE ALIGNMENT OF STATE HOUSING ACTIVITIES WITH HEALTH CARE OPPORTUNITIES,1,19290,,,
954523231,2023,ADVANCING THE NURSE PRACTITIONER WORKFORCE IN CALIFORNIA AB890,1,9225,,,
954523231,2023,ADVISORY SUPPORT FOR TELEHEALTH SUMMATIVE EVALUATION,2,2000,,,
954523231,2023,ALMANAC QUALITY METRICS UPDATE 2022-2024,1,21874,,,
954523231,2023,ANALYSIS OF BEHAVIORAL HEALTH BEDS AND HOUSING,1,67500,,,
954523231,2023,AUDIO/VISUAL STORYTELLING PEOPLE EXPERIENCING HOMELESSNESS,2,16685,,,
954523231,2023,"BLACK MEN AND HEALTH CARE ENGAGEMENT, OP-ED PIECE",1,3000,,,
954523231,2023,CALAIM SHARE AND LEARNING CONVENING,1,4066,,,
954523231,2023,CALIFORNIA DEPARTMENT OF HEALTH CARE SERVICES COMMUNICATIONS: CROSS PROJECT LEARNING,1,27778,,,
954523231,2023,CALIFORNIA TELEHEALTH COALITION SUSTAINABILITY,1,38971,,,
954523231,2023,"CALIFORNIA WIDE UNIVERSITY OF CALIFORNIA HEALTH, EQUITY, ACTION AND LEADERSHIP (UC HEAL) HUB DESIGN PHASE",1,28500,,,
954523231,2023,CAPACITY BUILDING FOR CALIFORNIA MEDICAL SCHOLARS PROGRAM,1,5000,,,
954523231,2023,CASE STUDY DESCRIBING THE UC DAVIS HEALTH & PARTNERING HEALTH CENTERS MODEL FOR SPECIALTY CARE,1,19850,,,
954523231,2023,CHCF BIRTH EQUITY ADVISORY GROUP 2023,3,5565,,,
954523231,2023,"CHCF BIRTH EQUITY ADVISORY GROUP, 2022 AND 2023",1,3403,,,
954523231,2023,CHCF INNOVATION FUND 2023 SUBJECT MATTER EXPERTS,7,17500,,,
954523231,2023,"CHCF MATERNAL HEALTH, MATERNAL MENTAL HEALTH AND WORKFORCE BLOG SERIES",1,3375,,,
954523231,2023,COMMUNICATIONS STRATEGIC SUPPORT FOR HOMELESSNESS AND HEALTH CARE,1,5900,,,
954523231,2023,COMMUNITY HEALTH WORKER & PROMOTOR WORKFORCE CBC: EDITING AND COMMUNICATIONS SUPPORT,1,32900,,,
954523231,2023,COMMUNITY HEALTH WORKERS AND PROMOTORES DE SALUD: UNDERSTANDING STAKEHOLDER NEEDS IN AN EMERGING POLICY ENVIRONMENT,1,48675,,,
954523231,2023,COMMUNITY SUPPORTS UTILIZATION: AMPLIFYING BRIGHT SPOTS,1,3600,,,
954523231,2023,CONSULTATION TO STATEWIDE ANALYSIS OF END-OF-LIFE METRICS AMONG MEDI-CAL DECEDENTS,2,4380,,,
954523231,2023,"CULTIVATING ALIGNMENT AND SHARED UNDERSTANDING: DOULAS, CHW/P/RS, AND BEHAVIORAL HEALTH PEERS",1,8800,,,
954523231,2023,DISSEMINATION SUPPORT FOR EQUITY IN CALAIM PUBLICATION,1,700,,,
954523231,2023,DRIP ESPRESSO TOWN HALL,1,7000,,,
954523231,2023,ELIGIBILITY AND ENROLLMENT PROJECT MANAGEMENT: 2023,1,108990,,,
954523231,2023,ENHANCED CARE MANAGEMENT POPULATIONS IN LOS ANGELES: CHARTBOOK,1,7525,,,
954523231,2023,"ENVIRONMENTAL DASHBOARD, FY22-23",1,4375,,,
954523231,2023,ESTABLISHING THE POPULATION HEALTH MANAGEMENT LEARNING CENTER,1,165000,,,
954523231,2023,EVALUATION DESIGN FOR THE KAISER POPULATION HEALTH MANAGEMENT INITIATIVE,1,12300,,,
954523231,2023,FACILITATION SUPPORT FOR HCAI HOSPITAL EQUITY MEASURES ADVISORY COMMITTEE,1,11700,,,
954523231,2023,HEALTH CARE COSTS 101 AND CALIFORNIA HEALTH CARE COSTS,1,9188,,,
954523231,2023,HEALTH CARE PROGRAM FOR PLUG IN SOUTH LA NETWORK FOR BLACK AND BROWN FOUNDERS,1,15000,,,
954523231,2023,HEALTH CARE WORKFORCE COORDINATING COMMITTEE KICK-OFF,1,4456,,,
954523231,2023,HEALTH INSURERS UPDATE 2023,1,57225,,,
954523231,2023,HEALTH WORKFORCE INVESTMENT AND IMPACT TRACKING PROJECT,1,20119,,,
954523231,2023,"IMPROVING MEDI-CAL COMMUNICATIONS FOR AGED, BLIND, AND DISABLED ENROLLEES",1,85700,,,
954523231,2023,IMPROVING USABILITY OF MEDI-CAL ENROLLEE COMMUNICATIONS,1,20406,,,
954523231,2023,LA COUNTY HEALTH CARE LEADER ROUNDTABLES - PHASE 2,1,8000,,,
954523231,2023,LA COUNTY MANAGED CARE PLAN NEEDS ASSESSMENT SYNTHESIS,1,5733,,,
954523231,2023,LIMITED SERIES INNOVATION FUND PODCAST,1,55000,,,
954523231,2023,LISTENING TO BLACK CALIFORNIANS LGBTQIA+ ISSUE BRIEF,1,11300,,,
954523231,2023,LISTENING TO BLACK CALIFORNIANS PHASE II: ISSUE BRIEFS,1,34200,,,
954523231,2023,LISTENING TO BLACK CALIFORNIANS: WEBSITE LAUNCH & COMMUNITY EVENT EXECUTION,1,17250,,,
954523231,2023,LONG-TERM CARE REPORT UPDATE,1,32375,,,
954523231,2023,MATERNITY CARE IN CALIFORNIA 2023 UPDATE,1,17500,,,
954523231,2023,MEDICAID AND HOMELESSNESS POLICY CONSULTANT,1,14100,,,
954523231,2023,MEDI-CAL CONSUMER RESEARCH SUMMARY PAPER,1,8580,,,
954523231,2023,MEDI-CAL COVERAGE EXPANSION: DEVELOPING IMPACT RESEARCH,1,8150,,,
954523231,2023,MEDI-CAL EXPLAINED: FACT SHEETS,1,33425,,,
954523231,2023,MEDI-CAL PALLIATIVE CARE TARGETED HEALTH PLAN TECHNICAL ASSISTANCE,2,18856,,,
954523231,2023,MEETING SUPPORT: BIDDERS CALL FOR 'ADDRESSING ANTI-BLACK RACISM IN THE DELIVERY SYSTEM' REQUEST FOR PROPOSAL (RFP),1,2250,,,
954523231,2023,METHODOLOGY PLANNING: COMMUNITY SUPPORTS UTILIZATION IMPACT STUDY,1,750,,,
954523231,2023,ONE-DAY VIDEO SHOOT IN LONG BEACH,1,7650,,,
954523231,2023,OUTREACH FOR THE DIGNITY IN PREGNANCY AND CHILDBIRTH COURSE BRIEF SUMMARY,1,4063,,,
954523231,2023,PLANNING AND INITIAL DATA REVIEW: LISTENING TO BLACK CALIFORNIANS DATA ON OLDER ADULTS,1,2500,,,
954523231,2023,PLANNING FOR CULTIVATING OUTCOMES THROUGH EQUITY IN BEHAVIORAL TELEHEALTH VIDEOS,1,2500,,,
954523231,2023,PLANNING GRANT FOR AUDIO PROGRAMMING FOR INNOVATION FUND,1,3850,,,
954523231,2023,PLANNING GRANT: USING REAL-TIME HOSPITAL DATA AND ACUTE-TO-COMMUNITY HANDOFFS TO IMPROVE IDENTIFICATION AND ENGAGEMENT FOR ENHANCED CARE MANAGEMENT,1,60000,,,
954523231,2023,PLANNING PHASE: BUILDING CAPACITY OF SAFETY-NET PROVIDERS TO CARE FOR OLDER ADULTS,1,21150,,,
954523231,2023,PLANNING SUPPORT FOR IMPROVING ACCESS TO CARE: ADVANCING PRIMARY CARE,1,28488,,,
954523231,2023,PRIMARY CARE CAPITATION IN SELF-FUNDED ERISA PLANS IN CALIFORNIA: IMPLICATIONS FOR MULTI-PAYER ALIGNMENT,1,24400,,,
954523231,2023,PRIVATE EQUITY: CHALLENGES AND OPPORTUNITIES FOR STATE POLICYMAKERS,2,72700,,,
954523231,2023,PROCESS EVALUATION AND LESSONS LEARNED FROM COVERED CALIFORNIA FACILITATED ENROLLMENT IMPLEMENTATION (SB 260),1,20000,,,
954523231,2023,PROJECT MANAGEMENT FOR LISTENING TO BLACK CALIFORNIANS PHASE II,1,40775,,,
954523231,2023,PROJECT MANAGEMENT SUPPORT,1,4050,,,
954523231,2023,PROPOSAL REVIEW MANAGEMENT FOR P-7709,1,4900,,,
954523231,2023,RESEARCH & TECHNICAL ASSISTANCE: FINAL PUBLIC CHARGE RULE PHASE 2,1,2250,,,
954523231,2023,SACRAMENTO BRIEFINGS SUPPORT,1,100858,,,
954523231,2023,STRATEGIC AND SUSTAINABILITY PLANNING SUPPORT FOR CALIFORNIANS FOR THE ADVANCEMENT OF MIDWIFERY (CAM),1,44900,,,
954523231,2023,SUBJECT MATTER EXPERT FOR CALIFORNIAS PALLIATIVE CARE PROGRESS AND FUTURE PRIORITIES PROJECT,5,40776,,,
954523231,2023,SUBJECT MATTER EXPERT STIPEND - CALIFORNIA MEDI-CAL PHMI EVALUATION DESIGN,3,7500,,,
954523231,2023,SUBJECT MATTER EXPERTISE FOR TELEHEALTH INTERVIEWS,1,6000,,,
954523231,2023,TELEHEALTH EVIDENCE REVIEW EVENT SUPPORT,1,5063,,,
954523231,2023,TELEHEALTH EXPERIENCE INTERVIEWS PUBLICATION WRITING,1,20625,,,
954523231,2023,TELEHEALTH VIDEO SERIES,1,10004,,,
954523231,2023,"THE WEALTH OF CALIFORNIA HOSPITALS AND HEALTH SYSTEMS, FY22 UPDATE",2,12500,,,
954523231,2023,TRACKING AND REPORTING ON ENROLLMENT: WILSON ANALYTICS,1,23663,,,
954523231,2023,"TRENDS IN EMERGENCY DEPARTMENT UTILIZATION AND CAPACITY IN CALIFORNIA, 2011-2021",1,61600,,,
954523231,2023,TWO VIDEOS ON CULTIVATING OUTCOMES THROUGH EQUITY IN BEHAVIORAL TELEHEALTH,1,28000,,,
954523231,2023,"UNDERSTANDING HEALTH SYSTEMS COLLECTION AND USE OF RACE, ETHNICITY, LANGUAGE DATA",2,54075,,,
954523231,2023,"UNDERSTANDING HEALTH SYSTEMS COLLECTION AND USE OF RACE, ETHNICITY, LANGUAGE DATA: RESEARCH ASSOCIATE",1,3040,,,
954523231,2023,VIDEO CAPTURE FOR PALLIATIVE CARE PROGRESS AND FUTURE PATHWAYS PROJECT,1,1684,,,
954523231,2023,VIDEO EDITING FOR PALLIATIVE CARE PROGRESS AND FUTURE PATHWAYS PROJECT,1,19184,,,
954523231,2023,WEBINAR: HOW TO COMMUNICATE TO NEWLY ELIGIBLE IMMIGRANTS ABOUT MEDI-CAL IN 2024,1,5865,,,
954523231,2023,WRITING AND DEVELOPMENT OF NP AND MIDWIFERY REPORTS,1,13499,,,
616034815,2023,SCHOLARSHIPS,8,16000,,Other,SCHOLARSHIP FOR TUITION
135562401,2024,ECONOMIC ASSISTANCE,27,136405,,,
431634280,2024,EMERGENCY RELIEF,143,548784,0,,
131788491,2024,Guest Rooms,10583,715822,462428,FMV,Guest Rooms
131788491,2024,Transportation,7223,519346,,,
131788491,2024,Patient Support,2824,233996,123798,FMV,"Masks, Digital Therm., & Food"
271346553,2024,Specific Assist to Individuals,4,332386,,FMV,
821406555,2024,WPH SCHOOL OF NURSING SCHOLARSHIPS,56,102375,,N/A,N/A
821406555,2024,WPH MARY B. HARTLEY RN SCHOLARSHIP,2,20000,,N/A,N/A
821406555,2024,AHN SCHOLARSHIPS,14,46125,,N/A,N/A
821406555,2024,AGH ALUMNAE SCHOLARSHIPS,24,79378,,N/A,N/A
821406555,2024,AGH CHILDREN SCHOLARSHIPS,1,16000,,N/A,N/A
821406555,2024,AKMC SCHOOL OF NURSING SCHOLARSHIPS,1,5000,,N/A,N/A
237039405,2024,SCHOLARSHIPS,16150,25019679,,,
383952644,2024,SCHOLARSHIPS,557,4477451,,,
383952644,2024,MEDICAL STUDENT STIPENDS,686,3202797,,,
383952644,2024,RESEARCH GRANT SUBAWARDS,6,3863,,,
383952644,2024,CHARITABLE SUPPORT OF INDIVIDUALS,222,267607,,,
912153073,2024,SCHOLARSHIPS,237,9142341,,,
912153073,2024,FELLOWSHIPS,2156,119894213,,,
204560286,2024,EMERGING LEADERS FELLOWSHIP STIPEND,9,90000,,,
237014089,2024,CHARITABLE CONTRIBUTION,841,1983592,,,
237028846,2024,SCHOLARSHIPS,2796,1397771,0,,
912117699,2024,SCHOLARSHIPS,62,95710,,,
